,step,Lagrangian_val,Train_val,Probability_violations_train,Violations_train,Avg_prob_train,A_norm,lam_list,mu,alpha,alphagrad,gradnorm,Rho
92,92,517.9224666842605,-4.1439530508859415,[0.03],9.402331323559377,0.03,37.88059574724122,[51.09519425],1.0020009999999997,0.005533858166347679,tensor(-121.0327),"[np.float64(0.5769842787086129), np.float64(9.14926022074491), np.float64(0.025509864745302584), np.float64(2.4733200649649194)]",1.0
93,93,514.78866590267,-4.142208429303213,[0.03],9.349900735143091,0.03,37.9032908649254,[51.09519425],1.0020009999999997,0.005566146212854068,tensor(-120.9276),"[np.float64(0.5770658352397162), np.float64(9.149196758345294), np.float64(0.025709853784516287), np.float64(2.4733943570880563)]",1.0
94,94,511.6496774417312,-4.140453391685549,[0.03],9.297338058457878,0.03,37.9260080503303,[51.09519425],1.0020009999999997,0.005598113983617044,tensor(-120.8223),"[np.float64(0.5771479149943611), np.float64(9.149133240349535), np.float64(0.025910022565883168), np.float64(2.4734686808486965)]",1.0
95,95,508.5064220374013,-4.138689007994927,[0.03],9.244658270942779,0.03,37.94874531549951,[51.09519425],1.0020009999999997,0.005629799197034603,tensor(-120.7167),"[np.float64(0.5772304616719465), np.float64(9.149069671885645), np.float64(0.02611034902535828), np.float64(2.4735430322544034)]",1.0
96,96,505.35971986565096,-4.136916234767221,[0.03],9.19187472622076,0.03,37.971500929751066,[51.09519425],1.0020009999999997,0.005661235869257767,tensor(-120.6109),"[np.float64(0.5773134247741037), np.float64(9.149006057646258), np.float64(0.02631081408667713), np.float64(2.473617407662594)]",1.0
97,97,502.21030147971885,-4.135135926854183,[0.03],9.13899932970544,0.03,37.994273389010175,[51.09519425],1.0020009999999997,0.005692454667864512,tensor(-120.5050),"[np.float64(0.5773967590031068), np.float64(9.148942401929688), np.float64(0.026511401268492378), np.float64(2.4736918037509907)]",1.0
98,98,499.05881761578786,-4.133348848800152,[0.03],9.086042696129715,0.03,38.017061385533644,[51.09519425],1.0020009999999997,0.005723483232120058,tensor(-120.3988),"[np.float64(0.5774804237257787), np.float64(9.14887870867519), np.float64(0.026712096267730544), np.float64(2.4737662174858306)]",1.0
99,99,495.9058479625971,-4.131555684451102,[0.03],9.033014290571217,0.03,38.039863782412105,[51.09519425],1.0020009999999997,0.005754346462945837,tensor(-120.2926),"[np.float64(0.5775643824908089), np.float64(9.148814981496573), np.float64(0.026912886643629293), np.float64(2.473840646093273)]",1.0
100,100,492.75190877835024,-4.129757044401939,[0.03],8.97992255205946,0.03,38.06267959228256,[51.09519425],1.0030030009999995,0.005785066785431719,tensor(-120.1862),"[np.float64(0.5776486025985577), np.float64(9.14875122371112), np.float64(0.027113761541536954), np.float64(2.4739150870368487)]",1.0
101,101,775.5962915039252,-3.610863361101747,[0.05],13.477779397730625,0.05,38.108210877226384,[51.09519425],1.0030030009999995,0.005800365585947971,tensor(-258.4538),"[np.float64(0.5776908267969789), np.float64(9.14871933103871), np.float64(0.027214230478152746), np.float64(2.473952312228663)]",1.0
102,102,772.2302557672863,-3.6099472346148205,[0.05],13.42532277480139,0.05,38.12074565574358,[51.09519425],1.0030030009999995,0.005817156896042442,tensor(-258.2433),"[np.float64(0.5777364574514872), np.float64(9.148685354713514), np.float64(0.02732291200781745), np.float64(2.4739920750279425)]",1.0
