,Rho,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
25,3.4821428571428568,-385.4485802051638,-385.4485804449454,-362.5001975547323,-397.16208353414095,-373.91094847860813,[0.02],0.8138662768732211,0.878,0.02,"(0,)",-385.0685866127031,-362.76522759421294,-385.06858686744096,[0.01],0.49839776703855093,0.01
26,3.685714285714285,-382.9038644222032,-382.9038646007623,-358.65497269732134,-395.47239817369893,-371.3186370506473,[0.016],0.46751121549364266,0.91,0.016,"(0,)",-382.45665908268234,-358.9400020801195,-382.4566592773715,[0.005],0.3611912560912692,0.005
27,3.889285714285714,-380.3561917999589,-380.35619196650237,-354.8097474128913,-393.7827128617997,-368.726325680067,[0.01],0.22187315854735679,0.946,0.01,"(0,)",-379.84208160777746,-355.1147762021281,-379.8420817688493,[0.005],0.2491247075494799,0.005
28,4.092857142857143,-377.80851908455486,-377.8085192584344,-350.964522092818,-392.09302772343574,-365.83169253157524,[0.004],0.11691534512767575,0.954,0.004,"(0,)",-377.2275039749677,-351.2895502728174,-377.2275041546075,[0.005],0.13707022415206216,0.005
29,4.296428571428572,-375.26084627664414,-375.26084653869907,-347.1192964705153,-390.40334240031143,-362.71447857901103,[0.002],0.06474412267368534,0.962,0.002,"(0,)",-374.6129262569469,-347.464324100002,-374.61292653101583,[0.005],0.024990999262179833,0.005
30,4.5,-372.71317370563014,-372.7131738713393,-343.2740713036286,-388.7136573466719,-359.5972643766526,[0.002],0.031314021316030394,0.976,0.002,"(0,)",-371.99834880189957,-343.639098317834,-371.9983489721801,[0.],0.015,0.0
31,4.65,-370.83594100062095,-370.83594124710737,-340.4407476066004,-387.2686201144214,-357.3003696761524,[0.],0.015,0.98,0.0,"(0,)",-370.07181773955455,-340.82051100168826,-370.07181799705427,[0.],0.015,0.0
32,5.550000000000001,-359.48799617818065,-359.4879963616616,-323.44080407870234,-378.33851430775644,-343.4468438485603,[0.],0.015,0.996,0.0,"(0,)",-358.43139516260703,-323.9089858651022,-358.4313953570019,[0.],0.015,0.0
33,6.449999999999999,-347.3450640241535,-347.34506419752256,-306.44086083654526,-369.31404018416606,-329.2512680148616,[0.],0.015,0.998,0.0,"(0,)",-346.0798112034126,-306.9974610281592,-346.07981139718015,[0.],0.015,0.0
34,7.3500000000000005,-335.01483151789137,-335.0148315969073,-289.44091743287044,-360.2132980701342,-313.81445648719193,[0.],0.015,1.0,0.0,"(0,)",-333.5594689123021,-290.0851874365495,-333.55946899189496,[0.],0.015,0.0
35,8.25,-322.5865564849121,-322.58655662401657,-272.4409738946881,-351.11255565983595,-298.37764505493556,[0.],0.015,1.0,0.0,"(0,)",-320.9304389164205,-273.16633289221005,-320.93043904183156,[0.],0.015,0.0
